"Parasite.species","n_lcdb","n_pubmed_spname","n_pubmed_spname_group"
"Camallanus corderoi",3,4,3
"Camallanus cotti",9,21,20
"Camallanus lacustris",6,17,14
"Camallanus oxycephalus",3,7,7
"Camallanus truncatus",3,4,4
"Camallanus xenentodoni",1,0,0
"Capillaria anatis",6,12,10
"Capillaria gracilis",2,0,0
"Capillaria oesophagealis",1,0,0
"Capillaria phasianina",3,3,2
"Capillaria pterophylli",3,0,0
"Capillospirura pseudoargumentosa",2,0,0
"Caryophyllaeus laticeps",8,34,30
"Catenotaenia pusilla",7,8,7
"Centrorhynchus aluconis",6,7,6
"Centrorhynchus milvus",3,0,0
"Cephalochlamys namaquensis",3,2,2
"Chabertia ovina",9,111,98
"Cheilospirura spinosa",3,3,2
"Choanotaenia infundibulum",11,24,17
"Cittotaenia citelli",1,0,0
"Cittotaenia denticulata",5,6,4
"Cladotaenia circi",3,0,0
"Cladotaenia globifera",17,4,4
"Clavinema fujimotoi",2,0,0
"Clistobothrium carcharodoni",5,1,1
"Clistobothrium cf. montaukensis",3,1,1
"Cloacotaenia megalops",11,9,9
"Comephoronema oschmarini",1,0,0
"Confluaria furcifera",3,0,0
"Confluaria podicipina",3,8,8
"Contracaecum microcephalum",4,5,5
"Contracaecum micropapillatum",2,1,1
"Contracaecum multipapillatum",9,17,16
"Contracaecum ogmorhini s.s.",5,0,0
"Contracaecum osculatum [A-C]",9,58,49
"Contracaecum osculatum [D, E]",3,0,0
"Contracaecum osculatum baicalensis",3,0,0
"Contracaecum pelagicum",5,6,6
"Contracaecum rudolphii",14,40,37
"Cooperia curticei",8,89,76
"Cooperia fuelleborni",2,5,4
"Cooperia oncophora",8,347,268
"Cooperia pectinata",5,48,44
"Cooperia punctata",8,132,99
"Corallobothrium fimbriatum",2,5,5
"Corallobothrium parafimbriatum",2,3,3
"Corallotaenia minutia",2,3,3
"Coronacanthus integer",3,0,0
"Coronacanthus omissa",3,0,0
"Coronacanthus vassilevi",2,1,1
"Corynosoma australe",7,22,15
"Corynosoma bullosum",6,4,4
"Corynosoma cetaceum",8,15,14
"Corynosoma hamanni",6,4,4
"Corynosoma magdaleni",4,3,3
"Corynosoma pseudohamanni",8,0,0
"Corynosoma semerme",8,8,7
"Corynosoma strumosum",9,16,15
"Cosmocephalus obvelatus",5,10,9
"Crenosoma mephitidis",3,2,2
"Crenosoma petrowi",2,1,1
"Crenosoma striatum",2,19,9
"Crenosoma vulpis",3,74,46
"Ctenotaenia marmotae",4,4,4
"Cucullanus chabaudi",1,0,0
"Cucullanus cirratus",4,0,0
"Cucullanus heterochrous",4,2,2
"Cyathocephalus truncatus",11,34,27
"Cyathostoma bronchialis",3,4,2
"Cyathostoma lari",5,4,3
"Cyathostomum catinatum",5,56,31
"Cyclodontostomum purvisi",3,9,6
"Cyclustera capito",7,2,2
"Cyclustera ibisae",6,0,0
"Cyclustera ralli",2,0,0
"Cylicocyclus nassatus",5,63,36
"Cylicostephanus longibursatus",4,50,28
"Cyrnea colini",3,4,2
"Cyrnea eurycerca",1,0,0
"Cyrnea mansioni",2,0,0
"Cystidicola cristivomeri",7,0,0
"Cystidicola farionis",7,13,12
"Cystidicoloides tenuissima",6,0,0
"Cystocaulus ocreatus",5,28,20
"Cystoopsis acipenseri",3,0,0
"Cystoopsis atractostei",1,1,1
"Davainea proglottina",7,18,16
"Davainea tetraoensis",2,0,0
"Dentitruncus truttae",3,12,10
"Desportesius brevicaudatus",2,0,0
"Desportesius invaginatus",2,0,0
"Dicheilonema rheae",2,0,0
"Dichelyne bullocki",2,0,0
"Dichelyne cotylophora",2,2,2
"Dichelyne minutus",4,1,0
"Dichoanotaenia gallinagilis",1,0,0
"Dicranotaenia coronula",13,3,3
"Dictyocaulus arnfieldi",3,31,8
"Dictyocaulus eckerti",2,21,12
"Dictyocaulus filaria",5,132,71
"Dictyocaulus viviparus",4,482,237
"Didelphostrongylus hayesi",3,8,6
"Dilepis undula",13,4,3
"Dinobothrium sp.",1,0,0
"Dioctophyma renale",15,62,28
"Dioecotaenia cancellata",3,0,0
"Diorchis asiatica",2,0,0
"Diorchis brevis",2,0,0
"Diorchis bulbodes",6,0,0
"Diorchis danutae",1,0,0
"Diorchis inflata",7,0,0
"Diorchis nyrocae",10,0,0
"Diorchis parvogenitalis",2,0,0
