"Parasite.species","n_lcdb","n_pubmed_spname","n_pubmed_spname_group"
"Protostrongylus hobmaieri",2,4,3
"Protostrongylus oryctolagi",2,2,2
"Protostrongylus pulmonalis/kamenskyi",5,0,0
"Protostrongylus rufescens",3,32,25
"Protostrongylus skrjabini",1,0,0
"Protostrongylus stilesi/rushi",10,3,2
"Protostrongylus tauricus",5,0,0
"Pseudalius inflexus",2,7,5
"Pseudanoplocephala crawfordi",3,4,4
"Pseudanthobothrium purtoni",2,2,1
"Pseudhymenolepis redonica",5,0,0
"Pseudocapillaria tomentosa",5,18,11
"Pseudocorynosoma constrictum",6,0,0
"Pseudodelphis oligocotti",2,3,2
"Pseudophysaloptera vincenti",1,0,0
"Pseudoproleptus sp.",1,2,2
"Pseudoterranova cattani",4,6,6
"Pseudoterranova decipiens [A-D]",21,99,78
"Pterygodermatites affinis",10,5,4
"Pterygodermatites coloradensis",5,0,0
"Pterygodermatites desportesi",1,0,0
"Pterygodermatites hispanica",2,0,0
"Pterygodermatites nycticebi",3,5,5
"Pterygodermatites peromysci",2,5,5
"Pterygodermatites taterilli",1,0,0
"Pterygodermatites zygodontomis",3,0,0
"Ptilotolepis raymondi",3,0,0
"Quadriplotriaena hypsokysta",2,0,0
"Rabbium paradoxus",1,0,0
"Raillietina australis",2,1,1
"Raillietina beveridgei",2,0,0
"Raillietina bonini",2,0,0
"Raillietina cesticillus",12,45,38
"Raillietina chiltoni",2,0,0
"Raillietina dromaius",2,0,0
"Raillietina echinobothrida",9,63,56
"Raillietina georgiensis",1,2,1
"Raillietina loeweni",2,1,1
"Raillietina mitchelli",2,0,0
"Raillietina tetragona",10,48,40
"Raphidascaris acus",11,46,35
"Raphidascaris gigi",4,2,2
"Retinometra exigua",2,0,0
"Retinometra venusta",3,0,0
"Rhabdochona canadensis",2,5,3
"Rhabdochona cascadilla",5,0,0
"Rhabdochona coronacauda",3,3,3
"Rhabdochona denudata",5,7,6
"Rhabdochona ergensi",2,0,0
"Rhabdochona gnedini",1,0,0
"Rhabdochona hellichi",3,4,4
"Rhabdochona kidderi",4,4,4
"Rhabdochona oncorhynchi",2,0,0
"Rhabdochona phoxini",3,0,0
"Rhodobothrium mesodesmatum",1,0,0
"Rhodobothrium paucitesticulare",2,0,0
"Rictularia cristata",4,0,0
"Rictularia proni",2,0,0
"Rodentolepis asymmetrica",5,1,1
"Rodentolepis microstoma",12,4,3
"Rodentolepis straminea",5,5,4
"Ryjikovilepis dubininae",2,0,0
"Salvelinema salmonicola",3,0,0
"Salvelinema walkeri",3,0,0
"Schistocephalus pungitii",9,10,8
"Schistocephalus solidus",27,148,136
"Schistotaenia colymba",3,0,0
"Schistotaenia srivastavai",3,3,2
"Schistotaenia tenuicirrus",2,0,0
"Schizorchis altaica",2,0,0
"Sciurotaenia transversaria",2,0,0
"Sclerocollum saudii",1,0,0
"Serpinema trispinosum",5,3,2
"Serratospiculum seurati",3,0,0
"Serratospiculum tendo",3,8,7
"Seuratum cadarachense",1,0,0
"Seuratum nguyenvanaii",1,0,0
"Sicarius dipterum",3,0,0
"Simondsia paradoxa",6,5,4
"Skrjabinelazia galliardi",2,0,0
"Skrjabinema ovis",2,15,14
"Skrjabingylus chitwoodorum",6,4,4
"Skrjabingylus lutrae",1,0,0
"Skrjabingylus nasicola",6,7,5
"Skrjabingylus petrowi",4,2,2
"Skrjabinocerca americana",2,0,0
"Skrjabinocerca prima",4,0,0
"Skrjabinoclava inornatae",3,0,0
"Skrjabinoclava morrisoni",2,0,0
"Skrjabinoptera phrynosoma",4,0,0
"Sobolevicanthus bisaccata",2,0,0
"Sobolevicanthus gracilis",16,9,9
"Sobolevicanthus krabbeella",2,0,0
"Sobolevicanthus octacantha",6,0,0
"Soboliphyme baturini",6,6,6
"Soboliphyme occidentalis",1,0,0
"Soboliphyme soricis",2,0,0
"Southwellina hispida",6,6,6
"Spathebothrium simplex",2,2,2
"Sphaerirostris picae",3,1,1
"Spinicauda freitasi",1,0,0
"Spinitectus carolini",4,5,3
"Spinitectus gracilis",5,0,0
"Spinitectus inermis",1,6,6
"Spinitectus micracanthus",2,0,0
"Spinitectus ranae",1,0,0
"Spirocamallanus cricotus",2,2,2
"Spirocamallanus fulvidraconis",3,1,1
"Spirocamallanus hilarii",4,0,0
"Spirocamallanus mysti",3,0,0
"Spirocerca lupi",16,162,91
"Spirometra erinacei",10,101,43
"Spirometra mansonoides",9,101,68
"Spiroxys contortus",7,7,6
"Spirura infundibuliformis",2,0,0
"Spirura malayensis",1,0,0
"Spirura rytipleurites",2,1,1
"Spirura talpae",2,2,1
"Spongiobothrium sp.",1,0,0
"Staphylocystis brusatae",3,0,0
"Staphylocystis furcata",7,4,4
"Staphylocystis pistillum",3,0,0
"Staphylocystis scalaris",5,0,0
"Stephanurus dentatus",8,53,42
"Sterliadochona ephemeridarum",1,0,0
"Stilesia globipunctata",8,16,14
"Streptocara crassicauda",11,7,5
"Streptopharagus greenbergi",1,1,1
"Streptopharagus kutassi",3,0,0
"Streptopharagus pigmentatus",3,5,5
"Strongylus edentatus",7,66,26
"Strongylus equinus",6,23,12
"Strongylus vulgaris",8,239,76
"Subulura bolivari",1,0,0
"Subulura jacchi",2,0,0
"Subulura otolicni",3,0,0
"Subulura williaminglisi",2,0,0
"Sulcascaris sulcata",5,5,5
"Syncuaria squamata",5,5,5
"Syngamus trachea",12,82,29
"Syphacia muris",5,76,31
"Syphacia obvelata",5,135,55
"Taenia acinonyxi",4,1,1
"Taenia arctos",1,4,2
"Taenia asiatica",3,100,13
"Taenia crassiceps",10,526,123
"Taenia crocutae",4,2,0
"Taenia endothoracicus",5,4,2
"Taenia gonyamai",4,0,0
"Taenia hyaenae",6,1,0
"Taenia hydatigena",18,350,89
"Taenia krepkogorski",2,1,1
"Taenia laticollis",7,2,0
"Taenia macrocystis",5,4,3
"Taenia madoquae",1,1,1
"Taenia martis",9,20,12
"Taenia multiceps",15,126,57
"Taenia mustelae",18,13,9
"Taenia olngojinei",2,0,0
"Taenia omissa",4,7,6
"Taenia ovis/krabbei",12,12,3
"Taenia parenchymatosa",2,0,0
"Taenia parva",4,4,3
"Taenia pencei",1,0,0
"Taenia pisiformis",18,155,73
"Taenia polyacantha",8,23,18
"Taenia regis",6,5,2
"Taenia rileyi",9,4,1
"Taenia saginata",8,995,201
"Taenia selousi",3,0,0
"Taenia serialis",10,34,16
"Taenia simbae",2,0,0
"Taenia solium",6,2276,265
"Taenia taeniaeformis",12,302,100
"Taenia talicei",2,0,0
"Taenia taxidiensis",7,0,0
"Taenia twitchelli",1,1,0
"Tanaorhamphus longirostris",3,0,0
"Tarsubulura perarmata",2,0,0
"Tatria biremis",5,1,1
"Tegorhynchus furcatus",2,0,0
"Teladorsagia circumcincta",6,473,380
"Tetrabothrius erostris",6,7,7
"Tetrabothrius sp.",2,11,9
"Tetrameres americana",3,14,9
"Tetrameres cardinalis",1,0,0
"Tetrameres confusa",2,1,1
"Tetrameres crami",1,1,1
"Tetrameres fissispina",10,11,10
"Tetrameres mohtedai",4,1,1
"Tetrameres pattersoni",2,5,3
"Thelastoma bulhoesi",2,10,9
"Thubunaea baylisi",1,0,0
"Thysaniezia giardi",3,7,6
"Toxascaris leonina",11,302,151
"Toxocara canis",16,2160,471
"Toxocara cati",8,388,131
"Toxocara mackerrasae",2,3,2
"Toxocara pteropodis",3,14,7
"Toxocara vitulorum",5,85,24
"Travassosascaris araujoi",2,0,0
"Triaenophorus crassus",17,17,15
"Triaenophorus nodulosus",15,62,54
"Triaenophorus stizostedionis",2,1,1
"Trichosomoides crassicauda",4,31,25
"Trichospirura leptostoma",3,8,7
"Trichostrongylus axei",8,406,293
"Trichostrongylus colubriformis",8,927,595
"Trichostrongylus retortaeformis",6,51,32
"Trichostrongylus rugatus",3,16,15
"Trichostrongylus sigmodontis",3,0,0
"Trichostrongylus skrjabini",1,1,1
"Trichostrongylus tenuis",3,68,43
"Trichostrongylus vitrinus",6,103,76
"Trichuris discolor",2,30,20
"Trichuris muris",7,358,197
"Trichuris ovis",8,84,64
"Trichuris skrjabini",4,13,7
"Trichuris suis",8,310,109
"Trichuris trichiura",8,3784,1171
"Trichuris vulpis",5,246,96
"Trilobostrongylus bioccai",2,0,0
"Triodontolepis bifurca",2,0,0
"Triodontolepis hamanni",2,0,0
"Triodontolepis kurashvilii",1,0,0
"Triodontolepis sumavensis",1,0,0
"Triodontophorus tenuicollis",3,2,1
"Troglostrongylus brevior",3,49,31
"Truttaedacnitis pybusae",2,0,0
"Truttaedacnitis truttae",5,9,7
"Tschertkovilepis setigera",3,2,1
"Turgida turgida",7,6,6
"Umingmakstrongylus pallikuukensis",3,11,9
"Uncinaria stenocephala",4,2582,567
"Urocystis prolifer",5,1,1
"Valipora campylancristrota",8,6,6
"Valipora minuta",3,1,1
"Valipora mutabilis",7,4,4
"Vampirolepis evaginata",2,0,0
"Varestrongylus alpenae",4,0,0
"Varestrongylus capreoli",4,5,4
"Varestrongylus eleguneniensis",2,6,6
"Varestrongylus pneumonicus",3,0,0
"Varestrongylus sagittatus",5,11,9
"Variolepis farciminosa",12,0,0
"Vaucherilepis trichophorus",1,1,1
"Vigisolepis spinulosa",4,1,1
"Vigisospirura potekhina",3,0,0
"Wardium fryei",3,0,0
"Wardium fusa",2,0,0
"Wardium manubriatum",1,0,0
"Wardium paraporale",1,0,0
"Wardium stellorae",6,0,0
