"Host","Parasite","ParasiteFull"
"(Seabirds) ","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"(wild duck) ","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Abramis brama","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Abramis brama orientalis","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Alburnus alburnus belvica","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Anhinga anhinga","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Anhinga melanogaster","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Aquila heliaca","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Ardea alba","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Ardea cinerea","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Ardea herodias","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Ardea nycticorax","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Ardea purpurea","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Ardeola grayi","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Aspius aspius taeniatus","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Botaurus lentiginosus","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Botaurus stellaris","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Butorides striatus","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Butorides virescens","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Casmerodius albus egretta","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Cyprinus carpio","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Egretta alba","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Egretta caerulea","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Egretta garzetta","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Egretta thula","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Egretta tricolor","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Haliaeetus leucocephalus","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Ixobrychus minutus","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Leuciscus cephalus albus","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Mergus merganser","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Milvus korschun","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Mugil soiuy","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Nycticorax europeus","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Nycticorax nycticorax","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Nycticorax nycticorax nycticorax","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Pelecanus crispus","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Pelecanus erythrorhynchos","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Pelecanus occidentalis","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Pelecanus onocrotalus","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Perca fluviatilis","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Phalacrocorax africanus","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Phalacrocorax carbo","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Phalacrocorax filamentosus","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Phalacrocorax pelagicus","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Phalacrocorax pygmaeus","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Podiceps auritus","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Podiceps cristatus","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Podiceps grisegena","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Rutilus rubilio prespensis","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"Rutilus rutilus caspicus","Contracaecum microcephalum","Contracaecum microcephalum (Rudolphi, 1819)"
"(Cyprinidae) ","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"(Fish) ","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"(Percidae) ","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"Ardea purpurea","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"Cichlasoma urophthalmus","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"Egretta alba","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"Gammarus lacustris","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"Mergus squamatus","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"Nyctanassa violacea","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"Pelecanus crispus","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"Pelecanus erythrorhynchos","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"Pelecanus onocrotalus","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"Phalacrocorax ","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"Phalacrocorax carbo","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"Phalacrocorax olivaceus","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"Phalacrocorax pygmaeus","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"Podiceps ruficollis","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"Stercorarius pomarinus","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"Tachybaptus ruficollis","Contracaecum micropapillatum","Contracaecum micropapillatum (Stossich, 1890)"
"(No actual record) ","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Ajaia ajaja","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Anhinga anhinga","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Ardea alba","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Ardea cocoi","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Ardea herodias","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Arius seemani","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Butorides virescens","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Casmerodius albus","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Cichlasoma istlanum","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Cichlasoma synspilum","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Cichlasoma urophthalmus","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Cochlearis cochlearius cochlearius","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Cyprinus carpio communis","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Cyprinus carpio specularis","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Dormitator latifrons","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Egretta alba","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Egretta caerulea","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Egretta rufescens","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Egretta thula","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Falco peregrinus","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Felis catus","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Grus americana","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Haliaeetus leucocephalus","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Istlarius balsanus","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Mugil cephalus","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Mugil curema","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Mycteria americana","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Nycticorax nycticorax","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Nycticorax nycticorax hoactli","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Oreochromis aureus","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Oreochromis niloticus","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Pandion haliaetus","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Pelecanus crispus","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Pelecanus erythrorhynchos","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Pelecanus occidentalis","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Petenia splendida","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Phalacrocorax auritus","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Phalacrocorax olivaceus","Contracaecum multipapillatum","Contracaecum multipapillatum (Drasche, 1882)"
"Arctocephalus australis","Contracaecum ogmorhini","Contracaecum ogmorhini Johnston & Mawson, 1941"
"Arctocephalus gazella","Contracaecum ogmorhini","Contracaecum ogmorhini Johnston & Mawson, 1941"
"Arctocephalus pusillus doriferus","Contracaecum ogmorhini","Contracaecum ogmorhini Johnston & Mawson, 1941"
"Arctocephalus pusillus pusillus","Contracaecum ogmorhini","Contracaecum ogmorhini Johnston & Mawson, 1941"
"Arctocephalus tropicalis","Contracaecum ogmorhini","Contracaecum ogmorhini Johnston & Mawson, 1941"
"Eumetopias jubatus","Contracaecum ogmorhini","Contracaecum ogmorhini Johnston & Mawson, 1941"
"Mirounga leonina","Contracaecum ogmorhini","Contracaecum ogmorhini Johnston & Mawson, 1941"
"Otaria flavescens","Contracaecum ogmorhini","Contracaecum ogmorhini Johnston & Mawson, 1941"
"Zalophus californianus","Contracaecum ogmorhini","Contracaecum ogmorhini Johnston & Mawson, 1941"
"(Amphipoda) ","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"(Aproditidae) ","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"(Birds) ","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"(Copepoda) ","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"(Crustacean) ","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"(Decapoda) ","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"(Fish) ","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"(Marine mammals) ","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"(Marine_Fish) ","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"(No actual record) ","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Acartia sp.","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Acartia tonsa","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Aptenodytes forsteri","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Aptocyclus ventricosus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Balanus sp.","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Boreogadus saida","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Brama japonica","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Callorhinus ursinus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Centropages hamatus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Chionodraco myersi","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Clupea harengus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Comephorus baicalensis","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Comephorus dybowski","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Coregonus autumnalis migratorius","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Cottocomephorus grewingki","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Cryodraco antarcticus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Ctenolabrus ","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Ctenolabrus rupestris","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Cygnodraco mawsoni","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Cystophora cristata","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Dissostichus eleginoides","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Engraulis japonicus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Erignathus barbatus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Eumetopias jubatus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Gadus macrocephalus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Gadus morhua","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Gasterosteus aculeatus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Gerlachea australis","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Halichoerus grypus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Harpagifer antarcticus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Harpagifer kerguelensis","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Hippoglossoides platessoides","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Hippoglossoides platessoides limandoides","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Histriophoca fasciata","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Homo sapiens","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Icelus spiniger","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Labrus bergylta","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Lagenorhynchus albirostris","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Larus hyperboreus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Leptonychotes weddelli","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Lota lota","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Lycodes raridens","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Macrourus whitsoni","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Macruronus magellanicus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Mallotus villosus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Melanogrammus aeglefinus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Merlangius merlangus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Merluccius hubbsi","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Mirounga angustirostris","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Molva dipterygia","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Molva dypterigia","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Molva molva","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Monachus monachus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Myoxocephalus polyacanthocephalus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Myoxocephalus quadricornis","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Myoxocephalus scorpius","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Neomysis integer","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Notothenia coriiceps","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Odobenus rosmarus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Oncorhynchus keta","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Oncorhynchus masou","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Oncorhynchus mykiss","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Osmerus eperlanus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Osmerus mordax dentex","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Pagetopsis maculatus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Pagophilus groenlandicus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Paracalanus parvus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Phoca fasciata","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Phoca groenlandica","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Phoca hispida","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Phoca hispida botnica","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Phoca largha","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Phoca sibirica","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Phoca vitulina","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Phoca vitulina concolor","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Phoca vitulina richardsi","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Phoca vitulina vitulina","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Phocoena phocaena","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Platichthys flesus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Pleuragramma antarcticum","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Pleuronectes platessa","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Pollachius virens","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Pungitius pungitius","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Racovitzia glacialis","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Rattus norvegicus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Reinhardtius hippoglossoides","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Salmo salar","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Salvelinus alpinus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Sebastes marinus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Sprattus sprattus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Taurulus bubalis","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Temora longicornis","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Theragra chalcogramma","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Thymallus thymallus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Trematomus eulepidotus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Trematomus lepidorhinus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Trematomus scotti","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Urophycis musicki","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Urophycis tenuis","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Zalophus californianus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Zoarces viviparus","Contracaecum osculatum","Contracaecum osculatum (Rudolphi, 1802)"
"Erignathus barbatus","Contracaecum A","Contracaecum osculatum A of Nascetti et al. (1993)"
"Gadus morhua macrocephalus","Contracaecum A","Contracaecum osculatum A of Nascetti et al. (1993)"
"Halichoerus grypus","Contracaecum A","Contracaecum osculatum A of Nascetti et al. (1993)"
"Hippoglossoides platessoides","Contracaecum A","Contracaecum osculatum A of Nascetti et al. (1993)"
"Hippoglossus hippoglossus","Contracaecum A","Contracaecum osculatum A of Nascetti et al. (1993)"
"Phoca vitulina richardsi","Contracaecum A","Contracaecum osculatum A of Nascetti et al. (1993)"
"Theragra chalcogramma","Contracaecum A","Contracaecum osculatum A of Nascetti et al. (1993)"
"Cystophora cristata","Contracaecum B","Contracaecum osculatum B of Nascetti et al. (1993)"
"Erignathus barbatus","Contracaecum B","Contracaecum osculatum B of Nascetti et al. (1993)"
"Gadus morhua","Contracaecum B","Contracaecum osculatum B of Nascetti et al. (1993)"
"Halichoerus grypus","Contracaecum B","Contracaecum osculatum B of Nascetti et al. (1993)"
"Hippoglossoides platessoides","Contracaecum B","Contracaecum osculatum B of Nascetti et al. (1993)"
"Mallotus villosus","Contracaecum B","Contracaecum osculatum B of Nascetti et al. (1993)"
"Molva dipterygia","Contracaecum B","Contracaecum osculatum B of Nascetti et al. (1993)"
"Myoxocephalus scorpius","Contracaecum B","Contracaecum osculatum B of Nascetti et al. (1993)"
"Phoca groenlandica","Contracaecum B","Contracaecum osculatum B of Nascetti et al. (1993)"
"Phoca hispida","Contracaecum B","Contracaecum osculatum B of Nascetti et al. (1993)"
"Pleuronectes americanus","Contracaecum B","Contracaecum osculatum B of Nascetti et al. (1993)"
"Abyssocottus bergianus","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Asprocottus herzentini","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Asprocottus megalops","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Batrachocottus nikolskii","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Brachymystax lenok","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Comephorus baicalensis","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Comephorus dybowski","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Coregonus autumnalis","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Coregonus autumnalis migratorius","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Coregonus lavaretus baicalensis","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Cottocomephorus grewingki","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Cottocomephorus inermis","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Lota lota","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Paracottus kessleri","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Phoca sibirica","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Phusa sibirica","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Pusa sibirica","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Thymallus arcticus","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Thymallus arcticus baicalensis","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Thymallus thymallus","Contracaecum osculatum","Contracaecum osculatum baicalensis Mozgovoy & Ryzhikov, 1950"
"Halichoerus grypus","Contracaecum C","Contracaecum osculatum C of Nascetti et al. (1993)"
"Chaenodraco wilsoni","Contracaecum D","Contracaecum osculatum D of Orecchia et al. (1994)"
"Chionodraco hamatus","Contracaecum D","Contracaecum osculatum D of Orecchia et al. (1994)"
"Cryodraco antarcticus","Contracaecum D","Contracaecum osculatum D of Orecchia et al. (1994)"
"Gymnodraco acuticeps","Contracaecum D","Contracaecum osculatum D of Orecchia et al. (1994)"
"Leptonychotes weddelli","Contracaecum D","Contracaecum osculatum D of Orecchia et al. (1994)"
"Notothenia neglecta","Contracaecum D","Contracaecum osculatum D of Orecchia et al. (1994)"
"Pagetopsis macropterus","Contracaecum D","Contracaecum osculatum D of Orecchia et al. (1994)"
"Pagothenia bernacchii","Contracaecum D","Contracaecum osculatum D of Orecchia et al. (1994)"
"Pagothenia hansoni","Contracaecum D","Contracaecum osculatum D of Orecchia et al. (1994)"
"Trematomus centronotus","Contracaecum D","Contracaecum osculatum D of Orecchia et al. (1994)"
"Trematomus newnesi","Contracaecum D","Contracaecum osculatum D of Orecchia et al. (1994)"
"Chaenodraco wilsoni","Contracaecum E","Contracaecum osculatum E of Orecchia et al. (1994)"
"Chionodraco hamatus","Contracaecum E","Contracaecum osculatum E of Orecchia et al. (1994)"
"Cryodraco antarcticus","Contracaecum E","Contracaecum osculatum E of Orecchia et al. (1994)"
"Gymnodraco acuticeps","Contracaecum E","Contracaecum osculatum E of Orecchia et al. (1994)"
"Leptonychotes weddelli","Contracaecum E","Contracaecum osculatum E of Orecchia et al. (1994)"
"Notothenia neglecta","Contracaecum E","Contracaecum osculatum E of Orecchia et al. (1994)"
"Pagetopsis macropterus","Contracaecum E","Contracaecum osculatum E of Orecchia et al. (1994)"
"Pagothenia bernacchii","Contracaecum E","Contracaecum osculatum E of Orecchia et al. (1994)"
"Pagothenia hansoni","Contracaecum E","Contracaecum osculatum E of Orecchia et al. (1994)"
"Trematomus centronotus","Contracaecum E","Contracaecum osculatum E of Orecchia et al. (1994)"
"Trematomus newnesi","Contracaecum E","Contracaecum osculatum E of Orecchia et al. (1994)"
