"Parasite.species","Host.species","best_host_name"
"Ascarops strongylina","Copris lunaris","Copris lunaris"
"Ascarops strongylina","Coronella austriaca","Coronella austriaca"
"Ascarops strongylina","Eptesicus serotinus","Eptesicus serotinus"
"Ascarops strongylina","Erinaceus concolor","Erinaceus concolor"
"Ascarops strongylina","Erinaceus roumanicus","Erinaceus roumanicus"
"Ascarops strongylina","Geotrupes mutator","Geotrupes mutator"
"Ascarops strongylina","Geotrupes pyrenaicus","Geotrupes pyrenaeus"
"Ascarops strongylina","Geotrupes stercorarius","Geotrupes stercorarius"
"Ascarops strongylina","Gymnopleurus mopsus","Gymnopleurus mopsus"
"Ascarops strongylina","Gymnopleurus pervus","Gymnopleurus parvus"
"Ascarops strongylina","Hemidactylus turcicus","Hemidactylus turcicus"
"Ascarops strongylina","Hister corax","Hister corax"
"Ascarops strongylina","Hister maindronii","Hister maindronii"
"Ascarops strongylina","Hybosormus orientalis","Hybosorus orientalis"
"Ascarops strongylina","Hybosorus orientalis","Hybosorus orientalis"
"Ascarops strongylina","Lacerta sp.","Lacerta sp."
"Ascarops strongylina","Lacerta agilis","Lacerta agilis"
"Ascarops strongylina","Lacerta erchardi","Lacerta erhardi"
"Ascarops strongylina","Lacerta muralis","Lacerta muralis"
"Ascarops strongylina","Lacerta viridis","Lacerta viridis"
"Ascarops strongylina","Lacerta vivipara","Zootoca vivipara"
"Ascarops strongylina","Malpolon monospessulanus","Malpolon monspessulanus"
"Ascarops strongylina","Mus musculus","Mus musculus"
"Ascarops strongylina","Myospalax psilurus","Myospalax psilurus"
"Ascarops strongylina","Myotis bechsteini","Myotis bechsteinii"
"Ascarops strongylina","Myotis blythi","Myotis punicus"
"Ascarops strongylina","Myotis dasycneme","Myotis dasycneme"
"Ascarops strongylina","Myotis daubentoni","Myotis daubentonii"
"Ascarops strongylina","Myotis myotis","Myotis myotis"
"Ascarops strongylina","Myotis mystacinus","Myotis mystacinus"
"Ascarops strongylina","Myotis nattereri","Myotis nattereri"
"Ascarops strongylina","Natrix natrix","Natrix natrix"
"Ascarops strongylina","Natrix piscator","Natrix piscator"
"Ascarops strongylina","Nyctalus leisleri","Nyctalus leisleri"
"Ascarops strongylina","Nyctalus noctula","Nyctalus noctula"
"Ascarops strongylina","Oniticellus pallens","Euoniticellus intermedius"
"Ascarops strongylina","Oniticellus pallipes","Euoniticellus pallipes"
"Ascarops strongylina","Onitis falsus","Onitis falsus"
"Ascarops strongylina","Onitis gazella","Onitis gazella"
"Ascarops strongylina","Onitis mopsus","Onitis mopsus"
"Ascarops strongylina","Onitis philemon","Onitis philemon"
"Ascarops strongylina","Onitis ramellosus","Onitis ramellosus"
"Ascarops strongylina","Onthophagus catta","Onthophagus catta"
"Ascarops strongylina","Onthophagus cervus","Onthophagus cervus"
"Ascarops strongylina","Onthophagus deflexicollis","Onthophagus deflexicollis"
"Ascarops strongylina","Onthophagus gibbulus","Onthophagus gibbulus"
"Ascarops strongylina","Onthophagus nuchicornis","Onthophagus nuchicornis"
"Ascarops strongylina","Onthophagus quadridentatus","Onthophagus quadridentatus"
"Ascarops strongylina","Ophisaurus apodus","Pseudopus apodus"
"Ascarops strongylina","Oryctolagus cuniculus","Oryctolagus cuniculus"
"Ascarops strongylina","Phacochoerus porcus","Phacochoerus porcus"
"Ascarops strongylina","Pipistrellus pipistrellus","Pipistrellus pipistrellus"
"Ascarops strongylina","Plecotus auritus","Plecotus auritus"
"Ascarops strongylina","Potosia hungarica","Potosia hungarica"
"Ascarops strongylina","Rana arvalis","Rana arvalis"
"Ascarops strongylina","Rattus rattus","Rattus rattus"
"Ascarops strongylina","Rhinolophus ferrumequinum","Rhinolophus ferrumequinum"
"Ascarops strongylina","Rhinolophus hipposideros","Rhinolophus hipposideros"
"Ascarops strongylina","Sorex araneus","Sorex araneus"
"Ascarops strongylina","Sorex minutus","Sorex minutus"
"Ascarops strongylina","Sus scrofa","Sus scrofa"
"Ascarops strongylina","Sus scrofa cristata","Sus scrofa"
"Ascarops strongylina","Sus scrofa domestica","Sus scrofa"
"Ascarops strongylina","Sus scrofa meridionalis","Sus scrofa"
"Ascarops strongylina","Talpa europaea","Talpa europaea"
"Ascarops strongylina","Trox granulatus","Trox fabricii"
"Ascarops strongylina","Trypocopris vernalis","Trypocopris vernalis"
"Ascarops strongylina","Vespertilio murinus","Vespertilio murinus"
"Ascarops strongylina","Vespertilio pipistrellus","Pipistrellus pipistrellus"
"Ascarops strongylina","Vespertilio serotinus","Eptesicus serotinus"
"Ascarops strongylina","Vipera berus","Vipera berus"
"Aspersentis megarhynchus","Bovallia gigantea","Bovallia gigantea"
"Aspersentis megarhynchus","Chaenocephalus aceratus","Chaenocephalus aceratus"
"Aspersentis megarhynchus","Channichthys rhinoceratus","Channichthys rhinoceratus"
"Aspersentis megarhynchus","Cheirimedon femuratus","Cheirimedon femoratus"
"Aspersentis megarhynchus","Eurymera monticosa","Eurymera monticosa"
"Aspersentis megarhynchus","Gondogeneia antarctica","Gondogeneia antarctica"
"Aspersentis megarhynchus","Harpagifer antarcticus","Harpagifer antarcticus"
"Aspersentis megarhynchus","Hippomedon kergueleni","Hippomedon kergueleni"
"Aspersentis megarhynchus","Hyppomedon kergueleni","Hippomedon kergueleni"
"Aspersentis megarhynchus","Jassa ingens","Jassa ingens"
"Aspersentis megarhynchus","Lycodichthys antarcticus","Lycodichthys antarcticus"
"Aspersentis megarhynchus","Notothenia acuta","Gobionotothen acuta"
"Aspersentis megarhynchus","Notothenia coriiceps","Notothenia coriiceps"
"Aspersentis megarhynchus","Notothenia cyanobrancha","Notothenia cyanobrancha"
"Aspersentis megarhynchus","Notothenia gibberifrons","Gobionotothen gibberifrons"
"Aspersentis megarhynchus","Notothenia magellanica","Paranotothenia magellanica"
"Aspersentis megarhynchus","Notothenia neglecta","Notothenia neglecta"
"Aspersentis megarhynchus","Notothenia nudifrons","Lindbergichthys nudifrons"
"Aspersentis megarhynchus","Notothenia rossi","Notothenia rossi"
"Aspersentis megarhynchus","Notothenia squamifrons","Lepidonotothen squamifrons"
"Aspersentis megarhynchus","Nototheniops mizops","Lindbergichthys mizops"
"Aspersentis megarhynchus","Nototheniops nudifrons","Lindbergichthys nudifrons"
"Aspersentis megarhynchus","Orchomenella rotundifrons","Orchomenella rotundifrons"
"Aspersentis megarhynchus","Pagothenia bernacchii","Trematomus bernacchii"
"Aspersentis megarhynchus","Pagothenia hansoni","Trematomus hansoni"
"Aspersentis megarhynchus","Parachaenichthys charcoti","Parachaenichthys charcoti"
"Aspersentis megarhynchus","Parachaenichthys georgianus","Parachaenichthys georgianus"
"Aspersentis megarhynchus","Pontogeneiella brevicornis","Prostebbingia brevicornis"
"Aspersentis megarhynchus","Trematomus bernacchii","Trematomus bernacchii"
"Aspersentis megarhynchus","Trematomus newnesi","Trematomus newnesi"
"Aspersentis megarhynchus","Waldeckia obesa","Charcotia obesa"
"Aspiculuris tetraptera","Apodemus flavicollis","Apodemus flavicollis"
"Aspiculuris tetraptera","Apodemus mystacinus","Apodemus mystacinus"
"Aspiculuris tetraptera","Apodemus sylvaticus","Apodemus sylvaticus"
"Aspiculuris tetraptera","Arvicola terrestris","Arvicola amphibius"
"Aspiculuris tetraptera","Chionomys nivalis","Chionomys nivalis"
"Aspiculuris tetraptera","Chionomys roberti","Chionomys roberti"
"Aspiculuris tetraptera","Clethrionomys glareolus","Myodes glareolus"
"Aspiculuris tetraptera","Clethrionomys rutilus","Myodes rutilus"
"Aspiculuris tetraptera","Cricetomys gambianus","Cricetomys gambianus"
"Aspiculuris tetraptera","Cricetulus barabensis","Cricetulus barabensis"
"Aspiculuris tetraptera","Cricetulus migratorius","Cricetulus migratorius"
"Aspiculuris tetraptera","Cricetus cricetus","Cricetus cricetus"
"Aspiculuris tetraptera","Meriones libycus erythrourus","Meriones libycus"
"Aspiculuris tetraptera","Meriones unguiculatus","Meriones unguiculatus"
"Aspiculuris tetraptera","Mesocricetus brandti","Mesocricetus brandti"
"Aspiculuris tetraptera","Microtus arvalis","Microtus arvalis"
"Aspiculuris tetraptera","Microtus nivalis","Microtus nivalis"
"Aspiculuris tetraptera","Microtus socialis","Microtus socialis"
"Aspiculuris tetraptera","Mus sp.","Mus sp."
"Aspiculuris tetraptera","Mus domesticus","Mus musculus"
"Aspiculuris tetraptera","Mus musculus","Mus musculus"
"Aspiculuris tetraptera","Mus musculus albinos","Mus musculus"
"Aspiculuris tetraptera","Mus musculus domesticus","Mus musculus"
"Aspiculuris tetraptera","Mus musculus musculus","Mus musculus"
"Aspiculuris tetraptera","Mus musculus musculus X domesticus","Mus musculus"
"Aspiculuris tetraptera","Mus spretus","Mus spretus"
"Aspiculuris tetraptera","Pitymys duodecimcostatus","Pitymys duodecimcostatus"
"Aspiculuris tetraptera","Rattus sp.","Rattus sp."
"Aspiculuris tetraptera","Rattus norvegicus","Rattus norvegicus"
"Aspiculuris tetraptera","Rattus rattus","Rattus rattus"
"Aspiculuris tetraptera","Rattus rattus alexandrinus","Rattus rattus"
"Aspiculuris tetraptera","Rattus rattus frugivorus","Rattus rattus"
"Aspiculuris tetraptera","Rhombomys opimus","Rhombomys opimus"
"Aspiculuris tetraptera","Sciurus vulgaris","Sciurus vulgaris"
"Atactorhynchus verecundus","Cyprinodon variegatus","Cyprinodon variegatus"
"Atactorhynchus verecundus","Paralichthys lethostigmus","Paralichthys lethostigma"
"Atriotaenia procyonis","Procyon lotor","Procyon lotor"
"Atriotaenia procyonis","Procyon lotor hirtus","Procyon lotor"
"Austramphilina elongata","Chelodina longicollis","Chelodina longicollis"
"Austramphilina elongata","Cherax destructor","Cherax destructor"
"Avioserpens galliardi","Ardea alba","Ardea alba"
"Avioserpens galliardi","Botaurus stellaris","Botaurus stellaris"
"Avioserpens galliardi","Buteo jamaicensis","Buteo jamaicensis"
"Avioserpens galliardi","Gavia stellata","Gavia stellata"
"Avioserpens galliardi","Ixobrychus minutus","Ixobrychus minutus"
"Avioserpens mosgovoyi","Cyclops strenuus","Cyclops ochridanus"
"Avioserpens mosgovoyi","Fulica atra","Fulica atra"
"Avioserpens mosgovoyi","Gallinula chloropus","Gallinula chloropus"
"Avioserpens mosgovoyi","Gasterosteus aculeatus","Gasterosteus aculeatus"
"Avioserpens mosgovoyi","Gavia arctica","Gavia arctica"
"Avioserpens mosgovoyi","Gavia pacifica","Gavia pacifica"
"Avioserpens mosgovoyi","Macrocyclops albidus","Macrocyclops albidus"
"Avioserpens mosgovoyi","Macrocyclops fuscus","Macrocyclops fuscus"
"Avioserpens mosgovoyi","Mesocyclops leuckarti","Mesocyclops leuckarti"
"Avioserpens mosgovoyi","Podiceps cristatus","Podiceps cristatus"
"Avioserpens mosgovoyi","Podiceps grisegena","Podiceps grisegena"
"Avioserpens mosgovoyi","Rutilus rutilus","Rutilus rutilus"
"Avioserpens mosgovoyi","Tachybaptus ruficollis","Tachybaptus ruficollis"
"Avitellina arctica","Rangifer tarandus","Rangifer tarandus"
"Avitellina centripunctata","Aepyceros melampus","Aepyceros melampus"
"Avitellina centripunctata","Antelope cervicapra","Antelope cervicapra"
"Avitellina centripunctata","Bos indicus","Bos taurus"
"Avitellina centripunctata","Bos taurus","Bos taurus"
"Avitellina centripunctata","Bubalus bubalis","Bubalus bubalis"
"Avitellina centripunctata","Camelus bactrianus","Camelus bactrianus"
"Avitellina centripunctata","Camelus dromedarius","Camelus dromedarius"
"Avitellina centripunctata","Camelus sp.","Camelus sp."
"Avitellina centripunctata","Capra sp.","Capra sp."
"Avitellina centripunctata","Capra hircus","Capra hircus"
"Avitellina centripunctata","Capreolus capreolus","Capreolus capreolus"
"Avitellina centripunctata","Drepanura loennbergi","Drepanura loennbergi"
"Avitellina centripunctata","Entomobrya sp.","Entomobrya sp."
"Avitellina centripunctata","Equus caballus","Equus caballus"
"Avitellina centripunctata","Hippotragus equinus cottoni","Hippotragus equinus"
"Avitellina centripunctata","Kobus ellipsiprymnus","Kobus ellipsiprymnus"
"Avitellina centripunctata","Lepidocyrtus sp.","Lepidocyrtus sp."
"Avitellina centripunctata","Ovis sp.","Ovis sp."
"Avitellina centripunctata","Ovis aries","Ovis aries"
"Avitellina centripunctata","Raphicerus capensis capricornis","Raphicerus capensis"
"Avitellina centripunctata","Raphicerus sharpei colonicus","Raphicerus sharpei"
"Avitellina centripunctata","Rupicapra rupicapra","Rupicapra rupicapra"
"Avitellina centripunctata","Saiga tatarica","Saiga tatarica"
"Avitellina centripunctata","Sylvicapra grimmia","Sylvicapra grimmia"
"Avitellina centripunctata","Syncerus caffer caffer","Syncerus caffer"
"Avitellina centripunctata","Taurotragus oryx livingstoni","Taurotragus oryx"
"Avitellina centripunctata","Tragulus javanicus","Tragulus javanicus"
"Avitellina lahorea","Bos taurus","Bos taurus"
"Avitellina lahorea","Bubalus bubalis","Bubalus bubalis"
"Avitellina lahorea","Capra hircus","Capra hircus"
"Avitellina lahorea","Ovis aries","Ovis aries"
"Avitellina lahorea","Scheloribates fimbriatus","Scheloribates fimbriatus"
"Avitellina lahorea","Scheloribates laevigatus","Scheloribates laevigatus"
"Baruscapillaria obsignata","Aechmophorus occidentalis","Aechmophorus occidentalis"
"Baruscapillaria obsignata","Afropavo congensis","Afropavo congensis"
"Baruscapillaria obsignata","Alectoris rufa","Alectoris rufa"
"Baruscapillaria obsignata","Anas capensis","Anas capensis"
"Baruscapillaria obsignata","Anas georgica","Anas georgica"
"Baruscapillaria obsignata","Anas platyrhynchos domesticus","Anas platyrhynchos"
"Baruscapillaria obsignata","Anas querquedula","Anas querquedula"
"Baruscapillaria obsignata","Anser anser","Anser anser"
"Baruscapillaria obsignata","Anser anser domesticus","Anser anser"
"Baruscapillaria obsignata","Aythya ferina","Aythya ferina"
"Baruscapillaria obsignata","Branta sandvicensis","Branta sandvicensis"
"Baruscapillaria obsignata","Chloris chloris","Chloris chloris"
"Baruscapillaria obsignata","Columba livia","Columba livia"
"Baruscapillaria obsignata","Columba livia domestica","Columba livia"
"Baruscapillaria obsignata","Columba oenas","Columba oenas"
"Baruscapillaria obsignata","Columba palumbus","Columba palumbus"
"Baruscapillaria obsignata","Coturnix coturnix","Coturnix coturnix"
"Baruscapillaria obsignata","Cygnus atratus","Cygnus atratus"
"Baruscapillaria obsignata","Cygnus melanocoryphus","Cygnus melancoryphus"
"Baruscapillaria obsignata","Gallus gallus domesticus","Gallus gallus"
"Baruscapillaria obsignata","Meleagris gallopavo","Meleagris gallopavo"
"Baruscapillaria obsignata","Meleagris gallopavo domesticus","Meleagris gallopavo"
"Baruscapillaria obsignata","Numida meleagris","Numida meleagris"
"Baruscapillaria obsignata","Passer domesticus","Passer domesticus"
"Baruscapillaria obsignata","Passer passer","Passer passer"
"Baruscapillaria obsignata","Perdix perdix","Perdix perdix"
"Baruscapillaria obsignata","Phasianus colchicus","Phasianus colchicus"
"Baruscapillaria obsignata","Podiceps auritus","Podiceps auritus"
"Baruscapillaria obsignata","Podiceps cristatus","Podiceps cristatus"
"Baruscapillaria obsignata","Podiceps grisegena","Podiceps grisegena"
"Baruscapillaria obsignata","Podiceps nigricollis","Podiceps nigricollis"
"Baruscapillaria obsignata","Streptopelia decaocto","Streptopelia decaocto"
"Baruscapillaria obsignata","Streptopelia turtur","Streptopelia turtur"
"Baruscapillaria obsignata","Sturnus vulgaris","Sturnus vulgaris"
"Baruscapillaria obsignata","Tetrao tetrix","Lyrurus tetrix"
"Baruscapillaria obsignata","Tetrao urogallus","Tetrao urogallus"
"Baruscapillaria obsignata","Turdus migratorius","Turdus migratorius"
"Baruscapillaria obsignata","Zenaidura carolinensis","Zenaidura carolinensis"
"Batrachocamallanus slomei","Xenopus sp.","Xenopus sp."
"Batrachocamallanus slomei","Xenopus laevis","Xenopus laevis"
"Batrachocamallanus slomei","Xenopus laevis laevis","Xenopus laevis"
"Batrachocamallanus slomei","Xenopus laevis poweri","Xenopus laevis"
"Baylisascaris columnaris","Martes foina","Martes foina"
"Baylisascaris columnaris","Martes martes","Martes martes"
"Baylisascaris columnaris","Mephitis mephitis","Mephitis mephitis"
"Baylisascaris columnaris","Procyon lotor","Procyon lotor"
"Baylisascaris devosi","Apodemus flavicollis","Apodemus flavicollis"
"Baylisascaris devosi","Clethrionomys glareolus","Myodes glareolus"
"Baylisascaris devosi","Gulo gulo","Gulo gulo"
"Baylisascaris devosi","Martes americana","Martes americana"
"Baylisascaris devosi","Martes americanus americanus","Martes americanus"
"Baylisascaris devosi","Martes pennanti","Martes pennanti"
"Baylisascaris devosi","Martes pennanti pennanti","Martes pennanti"
"Baylisascaris devosi","Martes zibellina","Martes zibellina"
"Baylisascaris devosi","Mephitis mephitis","Mephitis mephitis"
"Baylisascaris devosi","Mustela altaica","Mustela altaica"
"Baylisascaris devosi","Mustela ermina","Mustela ermina"
"Baylisascaris devosi","Mustela nivalis","Mustela nivalis"
"Baylisascaris devosi","Mustela putorius","Mustela putorius"
"Baylisascaris devosi","Mustela vison","Neovison vison"
"Baylisascaris laevis","Citellus undulatus","Urocitellus undulatus"
"Baylisascaris laevis","Marmota vancouverensis","Marmota vancouverensis"
"Baylisascaris laevis","Spermophilus richardsonii","Urocitellus richardsonii"
"Baylisascaris procyonis","Anas platyrhynchos","Anas platyrhynchos"
"Baylisascaris procyonis","Aphelocoma californica","Aphelocoma californica"
"Baylisascaris procyonis","Ara aruana","Ara aruana"
"Baylisascaris procyonis","Ara macao","Ara macao"
"Baylisascaris procyonis","Calidris alba","Calidris alba"
"Baylisascaris procyonis","Callipepla californica","Callipepla californica"
"Baylisascaris procyonis","Canis familiaris","Canis lupus"
"Baylisascaris procyonis","Carpodacus mexicanus","Haemorhous mexicanus"
"Baylisascaris procyonis","Chinchilla laniger","Chinchilla laniger"
"Baylisascaris procyonis","Corvus brachyrhynchos","Corvus brachyrhynchos"
"Baylisascaris procyonis","Dromaius novaehollandiae","Dromaius novaehollandiae"
"Baylisascaris procyonis","Erethizon dorsatum","Erethizon dorsatus"
"Baylisascaris procyonis","Geococcyx californianus","Geococcyx californianus"
"Baylisascaris procyonis","Homo sapiens","Homo sapiens"
"Baylisascaris procyonis","Hylobates lar","Hylobates lar"
"Baylisascaris procyonis","Lanius ludovicianus","Lanius ludovicianus"
"Baylisascaris procyonis","Meriones unguiculatus","Meriones unguiculatus"
"Baylisascaris procyonis","Mimus polyglottos","Mimus polyglottos"
"Baylisascaris procyonis","Mus musculus","Mus musculus"
"Baylisascaris procyonis","Mustela frenata","Mustela frenata"
"Baylisascaris procyonis","Neotoma fuscipes","Neotoma fuscipes"
"Baylisascaris procyonis","Nycticorax nycticorax","Nycticorax nycticorax"
"Baylisascaris procyonis","Oryctolagus cuniculus","Oryctolagus cuniculus"
"Baylisascaris procyonis","Passer domesticus","Passer domesticus"
"Baylisascaris procyonis","Peromyscus leucopus","Peromyscus leucopus"
"Baylisascaris procyonis","Peromyscus maniculatus","Peromyscus maniculatus"
"Baylisascaris procyonis","Pipilo maculatus","Pipilo maculatus"
"Baylisascaris procyonis","Procyon lotor","Procyon lotor"
"Baylisascaris procyonis","Psaltriparus minimus","Psaltriparus minimus"
"Baylisascaris procyonis","Sciurus carolinensis","Sciurus carolinensis"
"Baylisascaris procyonis","Spermophilus beecheyi","Otospermophilus beecheyi"
"Baylisascaris procyonis","Struthio camelus","Struthio camelus"
"Baylisascaris procyonis","Sturnus vulgaris","Sturnus vulgaris"
"Baylisascaris procyonis","Sylvilagus audubonii","Sylvilagus audubonii"
"Baylisascaris procyonis","Taxidea taxus","Taxidea taxus"
"Baylisascaris procyonis","Thomomys bottae","Thomomys bottae"
"Baylisascaris procyonis","Toxostoma redivivium","Toxostoma redivivum"
"Baylisascaris procyonis","Turdus migratorius","Turdus migratorius"
"Baylisascaris procyonis","Tyto alba","Tyto alba"
"Baylisascaris procyonis","Zenaida macroura","Zenaida macroura"
"Baylisascaris schroederi","Ailuropoda melanoleuca","Ailuropoda melanoleuca"
"Baylisascaris schroederi","Mus musculus","Mus musculus"
"Baylisascaris tasmaniensis","Dasycercus byrnei","Dasyuroides byrnei"
"Baylisascaris tasmaniensis","Dasyurus maculatus","Dasyurus maculatus"
"Baylisascaris tasmaniensis","Dasyurus viverrinus","Dasyurus viverrinus"
"Baylisascaris tasmaniensis","Sarcophilus harrisii","Sarcophilus harrisii"
"Baylisascaris tasmaniensis","Thylogale billardierii","Thylogale billardierii"
"Baylisascaris tasmaniensis","Vombatus ursinus","Vombatus ursinus"
"Baylisascaris transfuga","Gallus gallus domesticus","Gallus gallus"
"Baylisascaris transfuga","Mus musculus","Mus musculus"
"Baylisascaris transfuga","Thalarctos maritimus","Thalarctos maritimus"
"Baylisascaris transfuga","Ursus sp.","Ursus sp."
"Baylisascaris transfuga","Ursus americanus","Ursus americanus"
"Baylisascaris transfuga","Ursus americanus vancouveri","Ursus americanus"
"Baylisascaris transfuga","Ursus arctos","Ursus arctos"
"Baylisascaris transfuga","Ursus thibetanus","Ursus thibetanus"
"Bertiella mucronata","Alouatta caraya","Alouatta caraya"
"Bertiella mucronata","Alouatta nigra","Lagothrix lagothricha"
"Bertiella mucronata","Homo sapiens","Homo sapiens"
"Bertiella studeri","Cercopithecus aethiops","Cercopithecus aethiops"
"Bertiella studeri","Homo sapiens","Homo sapiens"
"Bertiella studeri","Hylobates concolor","Nomascus concolor"
"Bertiella studeri","Hylobates hoolock","Hoolock hoolock"
"Bertiella studeri","Macaca sp.","Macaca sp."
"Bertiella studeri","Macaca cynomolgus","Macaca cynomolgus"
"Bertiella studeri","Macaca fascicularis","Macaca fascicularis"
"Bertiella studeri","Macaca fuscata","Macaca fuscata"
"Bertiella studeri","Macaca iris","Macaca iris"
"Bertiella studeri","Macaca mubata","Macaca mulata"
"Bertiella studeri","Macaca mulatta","Macaca mulatta"
"Bertiella studeri","Macaca radiata","Macaca radiata"
"Bertiella studeri","Papio cynocephalus ursinus","Papio cynocephalus"
"Bertiella studeri","Papio ursinus","Papio ursinus"
"Bertiella studeri","Papio ursinus griseipes","Papio ursinus"
"Bertiella studeri","Pongo pygmaeus","Pongo pygmaeus"
"Bertiella studeri","Presbytis phayrei","Presbytis phayrei"
"Bertiella studeri","Presbytis pileata","Presbytis pileata"
"Bertiella studeri","Pygathrix nemaeus","Pygathrix nemaeus"
"Bertiella studeri","Scheloribates laevigatus","Scheloribates laevigatus"
"Bertiella studeri","Simia satyrus","Pan troglodytes"
"Biacetabulum biloculoides","Carpiodes velifer","Carpiodes velifer"
"Biacetabulum biloculoides","Limnodrilus hoffmeisteri","Limnodrilus hoffmeisteri"
"Blatticola blattae","Blatella germanica","Blatella germanica"
"Blatticola blattae","Blatta aegyptiaca","Polyphaga aegyptiaca"
"Blatticola blattae","Ectobia laponica","Ectobia laponica"
"Blatticola blattae","Ectobia livens","Ectobia livens"
"Blatticola blattae","Ectobia livida","Ectobia livida"
"Blatticola blattae","Lobolampra supaptera","Phyllodromica subaptera"
"Blatticola blattae","Loboptera decipiens","Loboptera decipiens"
"Bolbosoma balaenae","Balaena mysticetus","Balaena mysticetus"
"Bolbosoma balaenae","Balaenoptera acutorostrata","Balaenoptera acutorostrata"
"Bolbosoma balaenae","Balaenoptera borealis","Balaenoptera borealis"
"Bolbosoma balaenae","Balaenoptera musculus","Balaenoptera musculus"
"Bolbosoma balaenae","Balaenoptera physalus","Balaenoptera physalus"
"Bolbosoma balaenae","Eschrichtius robustus","Eschrichtius robustus"
"Bolbosoma balaenae","Eubalaena glacialis","Eubalaena glacialis"
"Bolbosoma balaenae","Eubalaena glacialis australis","Eubalaena glacialis"
"Bolbosoma balaenae","Hyperoodon ampullatus","Hyperoodon ampullatus"
"Bolbosoma balaenae","Megaptera nodosa","Megaptera novaeangliae"
"Bolbosoma balaenae","Megaptera novaeangliae","Megaptera novaeangliae"
"Bolbosoma nipponicum","Balaenoptera acutorostrata","Balaenoptera acutorostrata"
"Bolbosoma nipponicum","Balaenoptera borealis","Balaenoptera borealis"
"Bolbosoma nipponicum","Balaenoptera musculus","Balaenoptera musculus"
"Bolbosoma nipponicum","Balaenoptera physalus","Balaenoptera physalus"
"Bolbosoma nipponicum","Erignathus barbatus","Erignathus barbatus"
"Bolbosoma nipponicum","Eubalaena glacialis","Eubalaena glacialis"
"Bolbosoma nipponicum","Eubalaena glacialis sieboldi","Eubalaena glacialis"
"Bolbosoma nipponicum","Megaptera novaeangliae","Megaptera novaeangliae"
"Bolbosoma nipponicum","Orcinus orca","Orcinus orca"
"Bolbosoma nipponicum","Phoca fasciata","Histriophoca fasciata"
"Bolbosoma nipponicum","Phoca hispida","Pusa hispida"
"Bolbosoma nipponicum","Phoca largha","Phoca largha"
"Bolbosoma nipponicum","Phoca vitulina","Phoca vitulina"
"Bolbosoma nipponicum","Phoca vitulina curilensis","Phoca vitulina"
"Bolbosoma nipponicum","Scomber japonicus","Scomber japonicus"
"Bolbosoma vasculosum","Aphanopus carbo","Aphanopus carbo"
"Bolbosoma vasculosum","Auxis thazard","Auxis thazard"
"Bolbosoma vasculosum","Beryx splendens","Beryx splendens"
"Bolbosoma vasculosum","Brama brama","Brama brama"
"Bolbosoma vasculosum","Brama japonica","Brama japonica"
"Bolbosoma vasculosum","Coryphaenoides rupestris","Coryphaenoides rupestris"
"Bolbosoma vasculosum","Coryphaenoides striatura","Coryphaenoides striaturus"
"Bolbosoma vasculosum","Delphinus delphis","Delphinus delphis"
"Bolbosoma vasculosum","Diaphus perspicillatus","Diaphus perspicillatus"
"Bolbosoma vasculosum","Euthynnus affinis","Euthynnus affinis"
"Bolbosoma vasculosum","Euthynnus alleteratus","Euthynnus alletteratus"
"Bolbosoma vasculosum","Feresa attenuata","Feresa attenuata"
"Bolbosoma vasculosum","Globicephala melaena","Globicephala melas"
"Bolbosoma vasculosum","Helicolenus maculatus","Helicolenus dactylopterus"
"Bolbosoma vasculosum","Kogia breviceps","Kogia breviceps"
"Bolbosoma vasculosum","Mesoplodon bidens","Mesoplodon bidens"
"Bolbosoma vasculosum","Mesoplodon densirostris","Mesoplodon densirostris"
"Bolbosoma vasculosum","Myctophum punctatum","Myctophum punctatum"
"Bolbosoma vasculosum","Platycephalus pristis","Thysanophrys celebica"
"Bolbosoma vasculosum","Polymixia japonica","Polymixia japonica"
"Bolbosoma vasculosum","Psettodes erumei","Psettodes erumei"
"Bolbosoma vasculosum","Scomber scombrus","Scomber scombrus"
"Bolbosoma vasculosum","Scomberomorus cavalla","Scomberomorus cavalla"
"Bolbosoma vasculosum","Scopelopsis multipuncatus","Scopelopsis multipunctatus"
"Bolbosoma vasculosum","Scopelus heideri","Myctophum punctatum"
"Bolbosoma vasculosum","Scorpaena natalensis","Scorpaena scrofa"
"Bolbosoma vasculosum","Setarches longiceps","Setarches longiceps"
"Bolbosoma vasculosum","Sparus rajus","Sparus rajus"
"Bolbosoma vasculosum","Sphyraena barracuda","Sphyraena barracuda"
"Bolbosoma vasculosum","Stenella coeruleoalba","Stenella coeruleoalba"
"Bolbosoma vasculosum","Stenella frontalis","Stenella frontalis"
"Bolbosoma vasculosum","Thunnus alalunga","Thunnus alalunga"
"Bolbosoma vasculosum","Thunnus albacares","Thunnus albacares"
"Bolbosoma vasculosum","Thunnus obesus","Thunnus obesus"
"Bolbosoma vasculosum","Thunnus thynnus","Thunnus thynnus"
"Bolbosoma vasculosum","Trachurus murphyi","Trachurus murphyi"
"Bolbosoma vasculosum","Trachurus picturatus","Trachurus picturatus"
"Bolbosoma vasculosum","Trachurus symmetricus","Trachurus symmetricus"
"Bolbosoma vasculosum","Xiphias gladius","Xiphias gladius"
"Bolbosoma vasculosum","Ziphius cavirostris","Ziphius cavirostris"
"Bothrimonus fallax","Acipenser sp.","Acipenser sp."
"Bothrimonus fallax","Acipenser gueldenstaedti","Acipenser gueldenstaedtii"
