"Parasite.species","Host.species","best_host_name"
"Acanthocephalus anguillae","Rutilus pigus","Rutilus pigus"
"Acanthocephalus anguillae","Rutilus rutilus","Rutilus rutilus"
"Acanthocephalus anguillae","Salmo gairdneri","Oncorhynchus mykiss"
"Acanthocephalus anguillae","Salmo trutta","Salmo trutta"
"Acanthocephalus anguillae","Salmo trutta m. fario","Salmo trutta"
"Acanthocephalus anguillae","Salvelinus alpinus","Salvelinus alpinus"
"Acanthocephalus anguillae","Sarotherodon mossambicus","Oreochromis mossambicus"
"Acanthocephalus anguillae","Scardinius erythrophthalmus","Scardinius erythrophthalmus"
"Acanthocephalus anguillae","Silurus glanis","Silurus glanis"
"Acanthocephalus anguillae","Stizostedion lucioperca","Sander lucioperca"
"Acanthocephalus anguillae","Thymallus thymallus","Thymallus thymallus"
"Acanthocephalus anguillae","Tinca tinca","Tinca tinca"
"Acanthocephalus anguillae","Vimba vimba","Vimba vimba"
"Acanthocephalus anguillae","Zingel streber","Zingel streber"
"Acanthocephalus anguillae","Zingel zingel","Zingel zingel"
"Acanthocephalus anthuris","Rana perezi","Pelophylax perezi"
"Acanthocephalus anthuris","Salamandra salamandra","Salamandra salamandra"
"Acanthocephalus anthuris","Triton lobatus","Triton lobatus"
"Acanthocephalus anthuris","Triton punctatus","Triton punctatus"
"Acanthocephalus anthuris","Triturus cristatus","Triturus cristatus"
"Acanthocephalus anthuris","Triturus marmoratus","Triturus marmoratus"
"Acanthocephalus clavula","Abramis brama","Abramis brama"
"Acanthocephalus clavula","Anguilla anguilla","Anguilla anguilla"
"Acanthocephalus clavula","Asellus meridianus","Asellus meridianus"
"Acanthocephalus clavula","Barbus tybernus","Barbus tyberinus"
"Acanthocephalus clavula","Blicca bjoerkna","Blicca bjoerkna"
"Acanthocephalus clavula","Coregonus lavaretus","Coregonus lavaretus"
"Acanthocephalus clavula","Cottus gobio","Cottus gobio"
"Acanthocephalus clavula","Echinogammarus pungens","Echinogammarus pungens"
"Acanthocephalus clavula","Echinogammarus stammeri","Echinogammarus stammeri"
"Acanthocephalus clavula","Esox lucius","Esox lucius"
"Acanthocephalus clavula","Gadus morhua","Gadus morhua"
"Acanthocephalus clavula","Gasterosteus aculeatus","Gasterosteus aculeatus"
"Acanthocephalus clavula","Leuciscus cephalus","Squalius cephalus"
"Acanthocephalus clavula","Leuciscus leuciscus","Leuciscus leuciscus"
"Acanthocephalus clavula","Perca fluviatilis","Perca fluviatilis"
"Acanthocephalus clavula","Pungitius pungitius","Pungitius pungitius"
"Acanthocephalus clavula","Rutilus rutilus","Rutilus rutilus"
"Acanthocephalus clavula","Salmo trutta","Salmo trutta"
"Acanthocephalus clavula","Salvelinus alpinus","Salvelinus alpinus"
"Acanthocephalus clavula","Scardinius erythrophthalmus","Scardinius erythrophthalmus"
"Acanthocephalus clavula","Stizostedion lucioperca","Sander lucioperca"
"Acanthocephalus clavula","Thymallus thymallus","Thymallus thymallus"
"Acanthocephalus dirus","Alosa pseudoharengus","Alosa pseudoharengus"
"Acanthocephalus dirus","Ambloplites rupestris","Ambloplites rupestris"
"Acanthocephalus dirus","Amia calva","Amia calva"
"Acanthocephalus dirus","Anguilla rostrata","Anguilla rostrata"
"Acanthocephalus dirus","Aplodinotus grunniens","Aplodinotus grunniens"
"Acanthocephalus dirus","Aplodinotus simer","Aplodinotus simer"
"Acanthocephalus dirus","Asellus intermedius","Proasellus intermedius"
"Acanthocephalus dirus","Campostoma anomalum","Campostoma anomalum"
"Acanthocephalus dirus","Carassius auratus","Carassius auratus"
"Acanthocephalus dirus","Carassius carassius","Carassius carassius"
"Acanthocephalus dirus","Carpiodes velifer","Carpiodes velifer"
"Acanthocephalus dirus","Catostomus commersoni","Catostomus commersonii"
"Acanthocephalus dirus","Cichlasoma urophthalmus","Mayaheros urophthalmus"
"Acanthocephalus dirus","Coregonus clupeaformis","Coregonus clupeaformis"
"Acanthocephalus dirus","Cottus bairdi","Cottus bairdii"
"Acanthocephalus dirus","Cottus cognatus","Cottus cognatus"
