"Parasite.species","hosts_missing_tax_lcdb","hosts_missing_tax_comb","hsi_lcdb","var.hsi_lcdb","hsi_comb","var.hsi_comb"
"Anthobothrium sp. 2",0,0,3.66666666666667,3.55555555555556,3.66666666666667,3.55555555555556
"Aonchotheca bovis",0,0,2.6,0.24,2.47272727272727,0.394710743801653
"Aonchotheca bursata",0,0,3.97222222222222,4.13811728395062,4.25714285714286,3.5243537414966
"Aonchotheca caudinflata",0,0,2.83333333333333,2.91666666666667,4.13939393939394,2.10178145087236
"Aonchotheca erinacei",0,0,4.66666666666667,3.55555555555556,4.13333333333333,4.38222222222222
"Aonchotheca putorii",0,0,2.36363636363636,0.413223140495868,2.31578947368421,0.508464142813173
"Aplectana courdurieri",0,0,0,0,1,NA
"Aplectana macintoshii",0,1,3.14761904761905,0.98297052154195,3.25,1.13677536231884
"Aploparaksis australis",0,0,4.36363636363636,3.56473829201102,4.2967032967033,3.50537374713199
"Aploparaksis birulai",0,0,4,4,4.8,3.36
"Aploparaksis brachyphallos",0,0,3.63636363636364,2.62534435261708,2.995670995671,2.16015441989468
"Aploparaksis crassirostris",0,1,4.14285714285714,3.45578231292517,3.54285714285714,2.71482993197279
"Aploparaksis demshini",0,0,4.1,3.29,4.1,3.29
"Aploparaksis filum",0,1,3.61904761904762,5.28344671201814,3.26688815060908,3.13032110266136
"Aploparaksis furcigera",0,1,2.42857142857143,5.10204081632653,3.04356060606061,2.799238837236
"Aploparaksis kornyushini",0,0,6,0,6,0
"Aploparaksis orientalis",0,0,4.33333333333333,5.55555555555555,4.4,3.70666666666667
"Aploparaksis penetrans",0,0,4.4,3.84,4.03571428571429,4.5344387755102
"Aploparaksis pseudofilum",0,0,4.34545454545455,3.42611570247934,4.28333333333333,3.70305555555556
"Aploparaksis rissae",0,0,4.71428571428571,2.63265306122449,4.29487179487179,3.48997370151216
"Aploparaksis sinensis",0,0,3.33333333333333,3.55555555555556,3.0952380952381,3.41950113378685
"Aporhynchus norvegicus",0,1,5.66666666666667,0.222222222222222,5.66666666666667,0.222222222222222
"Aprostatandrya cricetuli",0,0,5,2,5,2
"Archigetes iowensis",0,0,6,0,6,0
"Archigetes limnodrili",0,0,3.5,6.25,4.35714285714286,4.30102040816327
