i.vec,sp.query,q.rank,ncbi.ids,class,cohort,family,genus,infraclass,infraorder,kingdom,order,phylum,species,species group,subclass,subfamily,subgenus,subkingdom,suborder,subphylum,subtribe,superclass,superfamily,superkingdom,superorder,tribe
9,Alcyonidium mytili,genus,51986,Gymnolaemata,NA,Alcyonidiidae,Alcyonidium,NA,NA,Metazoa,Ctenostomatida,Bryozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
18,Amphiporus lactifloreus,species,187594,Enopla,NA,Amphiporidae,Amphiporus,NA,NA,Metazoa,Monostilifera,Nemertea,Amphiporus lactifloreus,NA,Hoplonemertea,NA,NA,NA,Eumonostilifera,NA,NA,NA,NA,Eukaryota,NA,NA
20,Anisakis simplex,species,6269,Chromadorea,NA,Anisakidae,Anisakis,NA,Ascaridomorpha,Metazoa,Rhabditida,Nematoda,Anisakis simplex,NA,NA,NA,NA,NA,Spirurina,NA,NA,NA,Ascaridoidea,Eukaryota,NA,NA
25,Aonides sp. 1,genus,195208,Polychaeta,NA,Spionidae,Aonides,NA,NA,Metazoa,Spionida,Annelida,NA,NA,Scolecida,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
26,Aora sp.,genus,371455,Malacostraca,NA,Aoridae,Aora,NA,Corophiida,Metazoa,Amphipoda,Arthropoda,NA,NA,Eumalacostraca,NA,NA,NA,Senticaudata,Crustacea,NA,Multicrustacea,Corophioidea,Eukaryota,Peracarida,NA
28,Aphalloides timmi,genus,1483948,Trematoda,NA,Cryptogonimidae,Aphalloides,NA,NA,Metazoa,Opisthorchiida,Platyhelminthes,NA,NA,Digenea,NA,NA,NA,Opisthorchiata,NA,NA,NA,NA,Eukaryota,NA,NA
35,Arenicola  marina,genus,6343,Polychaeta,NA,Arenicolidae,Arenicola,NA,NA,Metazoa,Capitellida,Annelida,NA,NA,Scolecida,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
36,Armandia sp.,genus,167807,Polychaeta,NA,Opheliidae,Armandia,NA,NA,Metazoa,Scolecida,Annelida,NA,NA,Scolecida,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
37,Arrenurus ,genus,768087,Arachnida,NA,Arrenuridae,Arrenurus,NA,Anystina,Metazoa,Trombidiformes,Arthropoda,NA,NA,Acari,NA,NA,NA,Prostigmata,Chelicerata,NA,NA,Arrenuroidea,Eukaryota,Acariformes,NA
39,Asymphylodora demeli,genus,986157,Trematoda,NA,Lissorchiidae,Asymphylodora,NA,NA,Metazoa,Plagiorchiida,Platyhelminthes,NA,NA,Digenea,NA,NA,NA,Monorchiata,NA,NA,NA,NA,Eukaryota,NA,NA
46,Austrovenus stutchburyi,species,98293,Bivalvia,NA,Veneridae,Austrovenus,Euheterodonta,NA,Metazoa,Veneroida,Mollusca,Austrovenus stutchburyi,NA,Heterodonta,NA,NA,NA,NA,NA,NA,NA,Veneroidea,Eukaryota,NA,NA
54,Belostoma ,genus,236415,Insecta,Paraneoptera,Belostomatidae,Belostoma,Neoptera,Nepomorpha,Metazoa,Hemiptera,Arthropoda,NA,NA,Pterygota,Belostomatinae,NA,NA,Heteroptera,Hexapoda,NA,NA,NA,Eukaryota,NA,NA
56,Boccardia acus,species,1231925,Polychaeta,NA,Spionidae,Boccardia,NA,NA,Metazoa,Spionida,Annelida,Boccardia acus,NA,Scolecida,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
57,Boccardia syrtis,species,1231927,Polychaeta,NA,Spionidae,Boccardia,NA,NA,Metazoa,Spionida,Annelida,Boccardia syrtis,NA,Scolecida,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
62,Bothriocephalus scorpii,species,56203,Cestoda,NA,Bothriocephalidae,Bothriocephalus,NA,NA,Metazoa,Bothriocephalidea,Platyhelminthes,Bothriocephalus scorpii,NA,Eucestoda,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
65,Brachyphallus crenatus,species,1807725,Trematoda,NA,Hemiuridae,Brachyphallus,NA,NA,Metazoa,Azygiida,Platyhelminthes,Brachyphallus crenatus,NA,Digenea,NA,NA,NA,NA,NA,NA,NA,Hemiuroidea,Eukaryota,NA,NA
66,Bulla gouldiana,species,114738,Gastropoda,NA,Bullidae,Bulla,NA,NA,Metazoa,Cephalaspidea,Mollusca,Bulla gouldiana,NA,Heterobranchia,NA,NA,NA,NA,NA,NA,NA,Bulloidea,Eukaryota,NA,NA
67,Bunocotyle cingulata,genus,368072,Trematoda,NA,Hemiuridae,Bunocotyle,NA,NA,Metazoa,Azygiida,Platyhelminthes,NA,NA,Digenea,NA,NA,NA,NA,NA,NA,NA,Hemiuroidea,Eukaryota,NA,NA
71,Capillaria sp.,genus,119095,Enoplea,NA,Capillariidae,Capillaria,NA,NA,Metazoa,Trichinellida,Nematoda,NA,NA,Dorylaimia,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
72,Carcinus  maenas,genus,6758,Malacostraca,NA,Carcinidae,Carcinus,NA,Brachyura,Metazoa,Decapoda,Arthropoda,NA,NA,Eumalacostraca,NA,NA,NA,Pleocyemata,Crustacea,NA,Multicrustacea,Portunoidea,Eukaryota,Eucarida,NA
80,Cephalogonimus americanus,species,913093,Trematoda,NA,Cephalogonimidae,Cephalogonimus,NA,NA,Metazoa,Plagiorchiida,Platyhelminthes,Cephalogonimus americanus,NA,Digenea,NA,NA,NA,Xiphidiata,NA,NA,NA,Plagiorchioidea,Eukaryota,NA,NA
82,Cerastoderma  edule,genus,55709,Bivalvia,NA,Cardiidae,Cerastoderma,Euheterodonta,NA,Metazoa,Veneroida,Mollusca,NA,NA,Heterodonta,NA,NA,NA,NA,NA,NA,NA,Cardioidea,Eukaryota,NA,NA
85,Cercaria ephemera,genus,280692,Trematoda,NA,NA,Cercaria,NA,NA,Metazoa,Digenea,Platyhelminthes,NA,NA,Digenea,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
86,Cercaria microphallidarum no. 4,genus,280692,Trematoda,NA,NA,Cercaria,NA,NA,Metazoa,Digenea,Platyhelminthes,NA,NA,Digenea,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
87,Chaetogammarus marinus,species,315579,Malacostraca,NA,Gammaridae,Chaetogammarus,NA,Gammarida,Metazoa,Amphipoda,Arthropoda,Chaetogammarus marinus,NA,Eumalacostraca,NA,NA,NA,Senticaudata,Crustacea,NA,Multicrustacea,Gammaroidea,Eukaryota,Peracarida,NA
94,Ciliata  mustela,genus,210569,Actinopteri,Euteleosteomorpha,Gaidropsaridae,Ciliata,Teleostei,NA,Metazoa,Gadiformes,Chordata,NA,NA,Neopterygii,NA,NA,NA,Gadoidei,Craniata,NA,Actinopterygii,NA,Eukaryota,NA,NA
95,Cirriformia spirabrancha,genus,279645,Polychaeta,NA,Cirratulidae,Cirriformia,NA,NA,Metazoa,Spionida,Annelida,NA,NA,Scolecida,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
98,Colurostylis lemurum,genus,199713,Malacostraca,NA,Diastylidae,Colurostylis,NA,NA,Metazoa,Cumacea,Arthropoda,NA,NA,Eumalacostraca,NA,NA,NA,NA,Crustacea,NA,Multicrustacea,NA,Eukaryota,Peracarida,NA
102,Contracaecum sp.,genus,47567,Chromadorea,NA,Anisakidae,Contracaecum,NA,Ascaridomorpha,Metazoa,Rhabditida,Nematoda,NA,NA,NA,NA,NA,NA,Spirurina,NA,NA,NA,Ascaridoidea,Eukaryota,NA,NA
108,Corophium  volutator,genus,371471,Malacostraca,NA,Corophiidae,Corophium,NA,Corophiida,Metazoa,Amphipoda,Arthropoda,NA,NA,Eumalacostraca,NA,NA,NA,Senticaudata,Crustacea,NA,Multicrustacea,Corophioidea,Eukaryota,Peracarida,NA
113,Cryptocotyle concavum,genus,66765,Trematoda,NA,Heterophyidae,Cryptocotyle,NA,NA,Metazoa,Opisthorchiida,Platyhelminthes,NA,NA,Digenea,NA,NA,NA,Opisthorchiata,NA,NA,NA,NA,Eukaryota,NA,NA
114,Cryptocotyle jejuna,genus,66765,Trematoda,NA,Heterophyidae,Cryptocotyle,NA,NA,Metazoa,Opisthorchiida,Platyhelminthes,NA,NA,Digenea,NA,NA,NA,Opisthorchiata,NA,NA,NA,NA,Eukaryota,NA,NA
115,Cryptocotyle lingua,species,66766,Trematoda,NA,Heterophyidae,Cryptocotyle,NA,NA,Metazoa,Opisthorchiida,Platyhelminthes,Cryptocotyle lingua,NA,Digenea,NA,NA,NA,Opisthorchiata,NA,NA,NA,NA,Eukaryota,NA,NA
119,Cucullanus  cirratus,genus,657292,Chromadorea,NA,Cucullanidae,Cucullanus,NA,Ascaridomorpha,Metazoa,Rhabditida,Nematoda,NA,NA,NA,NA,NA,NA,Spirurina,NA,NA,NA,Seuratoidea,Eukaryota,NA,NA
120,Cumopsis goodsiri,species,94561,Malacostraca,NA,Bodotriidae,Cumopsis,NA,NA,Metazoa,Cumacea,Arthropoda,Cumopsis goodsiri,NA,Eumalacostraca,Vaunthompsoniinae,NA,NA,NA,Crustacea,NA,Multicrustacea,NA,Eukaryota,Peracarida,NA
121,Curtuteria australis,species,500588,Trematoda,NA,Himasthlidae,Curtuteria,NA,NA,Metazoa,Plagiorchiida,Platyhelminthes,Curtuteria australis,NA,Digenea,NA,NA,NA,Echinostomata,NA,NA,NA,Echinostomatoidea,Eukaryota,NA,NA
124,Cymodopsis montis,genus,638703,Malacostraca,NA,Sphaeromatidae,Cymodopsis,NA,NA,Metazoa,Isopoda,Arthropoda,NA,NA,Eumalacostraca,NA,NA,NA,NA,Crustacea,NA,Multicrustacea,NA,Eukaryota,Peracarida,NA
125,Dactylogyrus sp.,genus,142931,Monogenea,NA,Dactylogyridae,Dactylogyrus,NA,NA,Metazoa,Dactylogyridea,Platyhelminthes,NA,NA,Monopisthocotylea,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA
126,Daubaylia ,genus,1811522,Chromadorea,NA,Daubayliidae,Daubaylia,NA,Rhabditomorpha,Metazoa,Rhabditida,Nematoda,NA,NA,NA,NA,NA,NA,Rhabditina,NA,NA,NA,Rhabditoidea,Eukaryota,NA,NA
